$ go run main.go 
2022/09/09 13:16:49 Worker  2 got file://data/file1.csv
2022/09/09 13:16:49 Worker  1 got file://data/file3.csv
2022/09/09 13:16:49 Worker  0 got file://data/file2.csv
2022/09/09 13:16:49 Worker  2 got file://data/file4.csv
2022/09/09 13:16:49 Worker  0 got file://data/file5.csv
2022/09/09 13:16:49 Worker  2 got file://data/file6_bad.csv
2022/09/09 13:16:49 Worker  2 got file://data/file9_bad.csv
2022/09/09 13:16:49 skipping  : file://data/file6_bad.csv does have proper CSV headers
2022/09/09 13:16:49 skipping file://data/file9_bad.csv : record on line 5: wrong number of fields
2022/09/09 13:16:49 5 files read in 3.252143ms (poolsize 3 )
2022/09/09 13:16:49 file://data/file5.csv 1000 users (0 skipped) elapsed:260.096µs
2022/09/09 13:16:49 file://data/file3.csv 10000 users (0 skipped) elapsed:3.102772ms
2022/09/09 13:16:49 file://data/file1.csv 1000 users (0 skipped) elapsed:265.289µs
2022/09/09 13:16:49 file://data/file2.csv 1000 users (0 skipped) elapsed:317.121µs
2022/09/09 13:16:49 file://data/file4.csv 1000 users (0 skipped) elapsed:261.549µs
2022/09/09 13:16:49 14000 users
2022/09/09 13:16:49 mean 33
2022/09/09 13:16:49 median 31 users:
2022/09/09 13:16:49 Savannah VELEZ 31
2022/09/09 13:16:49 Cory BEST 31
2022/09/09 13:16:49 Samantha SHARP 31
2022/09/09 13:16:49 Jose MADDOX 31
2022/09/09 13:16:49 Marisa KAUR 31
2022/09/09 13:16:49 Kathleen MAYO 31
2022/09/09 13:16:49 Kimberly WILLIS 31
2022/09/09 13:16:49 Randy BLACKBURN 31
2022/09/09 13:16:49 Justin JIMENEZ 31
2022/09/09 13:16:49 Javier BASS 31
2022/09/09 13:16:49 Bradley PARKS 31
2022/09/09 13:16:49 Joshua BROWN 31
2022/09/09 13:16:49 Rebecca BOWERS 31
2022/09/09 13:16:49 Lydia HUERTA 31
2022/09/09 13:16:49 Alexander STRONG 31
2022/09/09 13:16:49 Darius ROGERS 31
2022/09/09 13:16:49 Veronica SHEPHERD 31
2022/09/09 13:16:49 Chad HEATH 31
2022/09/09 13:16:49 Ricardo PALMER 31
2022/09/09 13:16:49 Cynthia FERGUSON 31
2022/09/09 13:16:49 Autumn LE 31
2022/09/09 13:16:49 Corey DANIEL 31
2022/09/09 13:16:49 Parker MEDRANO 31
2022/09/09 13:16:49 Whitney VELEZ 31
2022/09/09 13:16:49 Angel LOVE 31
2022/09/09 13:16:49 Edward MEYER 31
2022/09/09 13:16:49 Chase LE 31
2022/09/09 13:16:49 Ryan REESE 31
2022/09/09 13:16:49 Daisy PETERSON 31
2022/09/09 13:16:49 Caitlyn MILLS 31
2022/09/09 13:16:49 Ricardo BLAKE 31
2022/09/09 13:16:49 Heather FLETCHER 31
2022/09/09 13:16:49 Chase ROWE 31
2022/09/09 13:16:49 Mitchell HARDY 31
2022/09/09 13:16:49 Gabriella SOSA 31
2022/09/09 13:16:49 Jonathon MALONE 31
2022/09/09 13:16:49 Sandra GILES 31
2022/09/09 13:16:49 Emma SAMPSON 31
2022/09/09 13:16:49 Charles VILLANUEVA 31
2022/09/09 13:16:49 Amy ROSE 31
2022/09/09 13:16:49 Jamie COMBS 31
2022/09/09 13:16:49 Alicia HODGES 31
2022/09/09 13:16:49 Ariel MOSS 31
2022/09/09 13:16:49 Gregory DENNIS 31
2022/09/09 13:16:49 Kristina MARKS 31
2022/09/09 13:16:49 Justin WHITNEY 31
2022/09/09 13:16:49 Eduardo RICH 31
2022/09/09 13:16:49 Abigail FOX 31
2022/09/09 13:16:49 Justin SANFORD 31
2022/09/09 13:16:49 Allison MONTOYA 31
2022/09/09 13:16:49 Cindy BONILLA 31
2022/09/09 13:16:49 Isaiah LEWIS 31
2022/09/09 13:16:49 Brett MCDOWELL 31
2022/09/09 13:16:49 Margaret HOFFMAN 31
2022/09/09 13:16:49 Preston WALLER 31
2022/09/09 13:16:49 Wesley QUINN 31
2022/09/09 13:16:49 Audrey BRADY 31
2022/09/09 13:16:49 Luke CHAVEZ 31
2022/09/09 13:16:49 Brianna FRY 31
2022/09/09 13:16:49 Kiara CAMERON 31
2022/09/09 13:16:49 Rachael HUFFMAN 31
2022/09/09 13:16:49 Isaiah MONTES 31
2022/09/09 13:16:49 Pedro KIRBY 31
2022/09/09 13:16:49 Riley PIERCE 31
2022/09/09 13:16:49 Brianna POWELL 31
2022/09/09 13:16:49 Raymond MITCHELL 31
2022/09/09 13:16:49 Travis GONZALEZ 31
2022/09/09 13:16:49 Stephanie WU 31
2022/09/09 13:16:49 Cindy WILEY 31
2022/09/09 13:16:49 Randy OLIVER 31
